Sector,Orbit,Orbit_Start,Orbit_End,Camera,Cam_RA,Cam_Dec,Cam_Roll,ID
1.0,9.0,58324.81597222222,58338.02777777778,1,324.57,-33.17,289.92,9.0_1
1.0,9.0,58324.81597222222,58338.02777777778,2,338.58,-55.08,299.88,9.0_2
1.0,9.0,58324.81597222222,58338.02777777778,3,19.49,-71.98,157.19,9.0_3
1.0,9.0,58324.81597222222,58338.02777777778,4,90.00,-66.56,224.19,9.0_4
1.0,10.0,58339.15972222222,58352.68402777778,1,324.57,-33.17,289.92,10.0_1
1.0,10.0,58339.15972222222,58352.68402777778,2,338.58,-55.08,299.88,10.0_2
1.0,10.0,58339.15972222222,58352.68402777778,3,19.49,-71.98,157.19,10.0_3
1.0,10.0,58339.15972222222,58352.68402777778,4,90.00,-66.56,224.19,10.0_4
2.0,11.0,58353.60763888889,58366.65972222222,1,352.08,-23.06,294.47,11.0_1
2.0,11.0,58353.60763888889,58366.65972222222,2,5.70,-44.31,302.18,11.0_2
2.0,11.0,58353.60763888889,58366.65972222222,3,33.36,-62.19,144.76,11.0_3
2.0,11.0,58353.60763888889,58366.65972222222,4,90.00,-66.57,196.63,11.0_4
2.0,12.0,58368.100694444445,58381.020833333336,1,352.08,-23.06,294.47,12.0_1
2.0,12.0,58368.100694444445,58381.020833333336,2,5.70,-44.31,302.18,12.0_2
2.0,12.0,58368.100694444445,58381.020833333336,3,33.36,-62.19,144.76,12.0_3
2.0,12.0,58368.100694444445,58381.020833333336,4,90.00,-66.57,196.63,12.0_4
3.0,13.0,58382.225694444445,58394.947916666664,1,17.17,-12.22,293.55,13.0_1
3.0,13.0,58382.225694444445,58394.947916666664,2,28.46,-33.91,298.06,13.0_2
3.0,13.0,58382.225694444445,58394.947916666664,3,47.39,-53.85,131.45,13.0_3
3.0,13.0,58382.225694444445,58394.947916666664,4,90.00,-66.57,169.06,13.0_4
3.0,14.0,58396.166666666664,58408.875,1,17.17,-12.22,293.55,14.0_1
3.0,14.0,58396.166666666664,58408.875,2,28.46,-33.91,298.06,14.0_2
3.0,14.0,58396.166666666664,58408.875,3,47.39,-53.85,131.45,14.0_3
3.0,14.0,58396.166666666664,58408.875,4,90.00,-66.57,169.06,14.0_4
4.0,15.0,58410.40625,58423.01736111111,1,41.81,-2.76,288.16,15.0_1
4.0,15.0,58410.40625,58423.01736111111,2,49.88,-25.47,290.17,15.0_2
4.0,15.0,58410.40625,58423.01736111111,3,61.87,-47.52,117.45,15.0_3
4.0,15.0,58410.40625,58423.01736111111,4,90.00,-66.56,141.52,15.0_4
4.0,16.0,58424.055555555555,58436.35763888889,1,41.81,-2.76,288.16,16.0_1
4.0,16.0,58424.055555555555,58436.35763888889,2,49.88,-25.47,290.17,16.0_2
4.0,16.0,58424.055555555555,58436.35763888889,3,61.87,-47.52,117.45,16.0_3
4.0,16.0,58424.055555555555,58436.35763888889,4,90.00,-66.56,141.52,16.0_4
5.0,17.0,58437.48263888889,58449.70486111111,1,67.06,3.53,279.38,17.0_1
5.0,17.0,58437.48263888889,58449.70486111111,2,71.11,-20.13,279.98,17.0_2
5.0,17.0,58437.48263888889,58449.70486111111,3,76.70,-43.68,103.00,17.0_3
5.0,17.0,58437.48263888889,58449.70486111111,4,90.00,-66.56,114.14,17.0_4
5.0,18.0,58451.055555555555,58463.79513888889,1,67.06,3.53,279.38,18.0_1
5.0,18.0,58451.055555555555,58463.79513888889,2,71.11,-20.13,279.98,18.0_2
5.0,18.0,58451.055555555555,58463.79513888889,3,76.70,-43.68,103.00,18.0_3
5.0,18.0,58451.055555555555,58463.79513888889,4,90.00,-66.56,114.14,18.0_4
6.0,19.0,58464.711805555555,58476.52777777778,1,92.81,5.41,268.82,19.0_1
6.0,19.0,58464.711805555555,58476.52777777778,2,92.31,-18.59,268.76,19.0_2
6.0,19.0,58464.711805555555,58476.52777777778,3,91.62,-42.58,88.41,19.0_3
6.0,19.0,58464.711805555555,58476.52777777778,4,89.99,-66.56,87.05,19.0_4
6.0,20.0,58477.61111111111,58489.552083333336,1,92.81,5.41,268.82,20.0_1
6.0,20.0,58477.61111111111,58489.552083333336,2,92.31,-18.59,268.76,20.0_2
6.0,20.0,58477.61111111111,58489.552083333336,3,91.62,-42.58,88.41,20.0_3
