atlasdesignation otherdesignation           ra          dec spectraltype earliestmjd tnsname closebrightRA closebrightDec     MJDpreSN
             NaN              NaN    40.951792    32.526069          NaN         NaN 2017gjn           NaN            NaN 57994.859919
             NaN              NaN    32.116583     6.387869          NaN         NaN 2017glq           NaN            NaN 57999.357535
             NaN              NaN    52.392667    10.973189          NaN         NaN 2017gup           NaN            NaN 58013.555995
             NaN              NaN    65.843079    25.411328          NaN         NaN 2017guu           NaN            NaN 58009.588993
             NaN              NaN   288.342263   -16.801153          NaN         NaN 2017guv           NaN            NaN 58011.305000
             NaN              NaN   359.091208     32.45665          NaN         NaN 2017haf           NaN            NaN 58026.500000
             NaN              NaN   292.090042    56.579361          NaN         NaN 2017gqr           NaN            NaN 58005.156701
             NaN              NaN    75.804771     -22.8331          NaN         NaN 2017guh           NaN            NaN 58014.310000
             NaN              NaN   355.444958    -1.350919          NaN         NaN 2017gvp           NaN            NaN 58019.480000
             NaN              NaN       84.132    16.642389          NaN         NaN 2017ghu           NaN            NaN 57991.486597
             NaN              NaN   327.083833   -34.952889          NaN         NaN 2017hgz           NaN            NaN 58036.020000
             NaN              NaN    77.182625      70.4757          NaN         NaN 2017hjw           NaN            NaN 58040.573993
             NaN              NaN    39.010708    43.472061          NaN         NaN 2017hjy           NaN            NaN 58040.496991
             NaN              NaN    79.834542   -17.611589          NaN         NaN 2017hoq           NaN            NaN 58047.550995
             NaN              NaN    69.961392     7.065339          NaN         NaN 2017hpa           NaN            NaN 58051.346019
             NaN              NaN       62.259    -1.160019          NaN         NaN 2017hou           NaN            NaN 58050.370139
             NaN              NaN   175.706875    77.370219          NaN         NaN 2017igf           NaN            NaN 58075.590000
             NaN              NaN   198.300708   -19.520911          NaN         NaN 2017isq           NaN            NaN 58091.617998
             NaN              NaN   196.350042    56.324181          NaN         NaN 2017gxq           NaN            NaN 58013.452998
             NaN              NaN   167.685508     4.847444          NaN         NaN 2017isj           NaN            NaN 58089.345683
             NaN              NaN    92.236708   -27.795861          NaN         NaN 2017iyb           NaN            NaN 58103.446991
             NaN              NaN   183.112542     29.14935          NaN         NaN 2017iji           NaN            NaN 58077.640000
             NaN              NaN   105.731208    62.772411          NaN         NaN 2017jav           NaN            NaN 58106.243009
             NaN              NaN   123.378125    71.428981          NaN         NaN 2017iyw           NaN            NaN 58105.300000
             NaN              NaN    160.08875   -46.419619          NaN         NaN 2017jyl           NaN            NaN 58117.545995
